LAFD 61	LAFD Station 61	fire	34.0694246	-118.3471536
LAFD 12	LAFD Station 12	fire	34.1111929	-118.1902679
LAFD 105	LAFD Station 105	fire	34.1857342	-118.6237818
LAFD 33	LAFD Station 33	fire	33.9812318	-118.2737207
LAFD 100	LAFD Station 100	fire	34.1933876	-118.5099677
LAFD 72	LAFD Station 72	fire	34.1942657	-118.5889057
LAFD 89	LAFD Station 89	fire	34.199283	-118.3969128
LAFD 80	LAFD Station 80	fire	33.9406927	-118.419513
LAFD 73	LAFD Station 73	fire	34.2053626	-118.536375
LAFD 74	LAFD Station 74	fire	34.2584426	-118.3014901
LAFD 57	LAFD Station 57	fire	33.9687871	-118.2915813
LAFD 90	LAFD Station 90	fire	34.2146769	-118.4842978
LAFD 97	LAFD Station 97	fire	34.1261168	-118.3744123
LAFD 104	LAFD Station 104	fire	34.2216673	-118.5713631
LAFD 5	LAFD Station 5	fire	33.9557077	-118.4040478
LAFD 77	LAFD Station 77	fire	34.2361897	-118.3669677
LAFD 24	LAFD Station 24	fire	34.2640088	-118.3369261
LAFD 111	LAFD Station 111	fire	33.7351701	-118.2694485
LAFD 70	LAFD Station 70	fire	34.2497713	-118.5365946
